register	file	path	english
b2b	ana-data	CAMPAIGNS/days	28 Jul, 2026
b2b	ana-data	CAMPAIGNS/days	15 Aug, 2026
b2b	ana-data	CAMPAIGNS/days	2 Sep, 2026
consumer	ana-data	CAMPAIGNS/LQ1	How old is your child?
consumer	ana-data	CAMPAIGNS/LQ2	What matters most for your child right now?
consumer	ana-data	CAMPAIGNS/LQ3	Where do you usually shop for your child’s essentials?
consumer	ana-data	CAMPAIGNS/LQ4	Is your child drinking a growing-up milk today?
b2b	ana-data	CAMPAIGNS/PQ1	Do you currently have a dog?
b2b	ana-data	CAMPAIGNS/PQ2	How old is your dog?
b2b	ana-data	CAMPAIGNS/PQ3	What type of food does your dog usually eat?
b2b	ana-data	CAMPAIGNS/MQ1	How old is your baby?
b2b	ana-data	CAMPAIGNS/MQ2	How much does your baby weigh?
b2b	ana-data	CAMPAIGNS/MQ3	What's your biggest diaper concern?
b2b	ana-data	CAMPAIGNS/MQ4	Does your baby have sensitive skin?
b2b	ana-data	CAMPAIGNS/C/pedigree/id	PED-JP-2026
b2b	ana-data	CAMPAIGNS/C/pedigree/company	Mars Japan Ltd.
b2b	ana-data	CAMPAIGNS/C/pedigree/name	2026: Pedigree LINE Sampling — Kanto
b2b	ana-data	CAMPAIGNS/C/pedigree/brand	Pedigree
b2b	ana-data	CAMPAIGNS/C/pedigree/channelShort	Instagram → LINE chatbot
b2b	ana-data	CAMPAIGNS/C/pedigree/carrier	Yamato Transport
b2b	ana-data	CAMPAIGNS/C/pedigree/skuLabel	SKU allocated by dog age
b2b	ana-data	CAMPAIGNS/C/pedigree/questions/tag	Qualification
b2b	ana-data	CAMPAIGNS/C/pedigree/questions/opts	Yes, I do!
consumer	ana-data	CAMPAIGNS/C/pedigree/questions/opts	Not yet
b2b	ana-data	CAMPAIGNS/C/pedigree/questions/tag	SKU rule
b2b	ana-data	CAMPAIGNS/C/pedigree/questions/opts	Puppy (under 1 year)
b2b	ana-data	CAMPAIGNS/C/pedigree/questions/opts	Adult (1–7 years)
b2b	ana-data	CAMPAIGNS/C/pedigree/questions/opts	Senior (7+ years)
b2b	ana-data	CAMPAIGNS/C/pedigree/questions/opts	Dry food
b2b	ana-data	CAMPAIGNS/C/pedigree/questions/opts	Wet food
b2b	ana-data	CAMPAIGNS/C/pedigree/questions/opts	Mix of dry and wet
b2b	ana-data	CAMPAIGNS/C/pedigree/skus	Pedigree Puppy · Chicken & Milk 400 g
b2b	ana-data	CAMPAIGNS/C/pedigree/skus	Pedigree Adult · Chicken & Vegetables 400 g
b2b	ana-data	CAMPAIGNS/C/pedigree/skus	Pedigree Senior 7+ · Chicken 400 g
b2b	ana-data	CAMPAIGNS/C/pedigree/fbSplit/l	Positive
b2b	ana-data	CAMPAIGNS/C/pedigree/fbSplit/l	Negative
b2b	ana-data	CAMPAIGNS/C/pedigree/fbSplit/l	Neutral
b2b	ana-data	CAMPAIGNS/C/pedigree/piSplit	Tapped “Buy now”
consumer	ana-data	CAMPAIGNS/C/pedigree/piDest	Rakuten
b2b	ana-data	CAMPAIGNS/C/pedigree/neg	Dog didn't finish it
b2b	ana-data	CAMPAIGNS/C/pedigree/neg	Prefers wet food
b2b	ana-data	CAMPAIGNS/C/pedigree/neg	Pack damaged
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/cities	Tokyo (23 wards)
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/cities	Yokohama
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/cities	Saitama
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/cities	Chiba
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/cities	Kawasaki
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/cities	Osaka
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/postals	160-0022 Shinjuku
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/postals	150-0001 Shibuya
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/postals	154-0001 Setagaya
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/postals	220-0011 Yokohama Nishi
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/postals	330-0801 Saitama Ōmiya
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/postals	260-0013 Chiba Chūō
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/postals	210-0006 Kawasaki
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/postals	106-0032 Roppongi
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/postals	170-0013 Toshima
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/postals	130-0011 Sumida
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/prefs	Tokyo
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/prefs	Kanagawa
b2b	ana-data	CAMPAIGNS/C/pedigree/geo/prefs	Other
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/top/d	= Adult (1–7 years) AND
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/top/d	= Dry food
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/top/m	1.33x avg
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/top2/d	= Adult (1–7 years)
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/top2/m	1.12x avg
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/low	= Senior (7+ years) AND
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/low	= Wet food
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/low	= Puppy (under 1 year) AND
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/key	is the strongest predictor of purchase intent (partial pseudo-R²=0.0041, rank #1).
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/driverLine	is your strongest driver — ⟦0⟧3×⟦1⟧ the impact of
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/driverLine	and accounts for ⟦0⟧71%⟦1⟧ of predictive power. The SKU the customer received follows directly from it.
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/idx	Rank #1
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/idx	+1.5pp above average
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/idx	1.4pp below average
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/idx	3.2pp below average
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/idx	Rank #2
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/idx	+2pp above average
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/idx	1.3pp below average
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/idx	4.7pp below average
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/idx	Rank #3
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/idx	0pp — every delivered claimant qualified
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/tree	All delivered claimants
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/tree	Adult · Dry food
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/tree	Adult · Mix
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/tree	Adult · Wet food
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/tree	Senior · Wet food
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/summary	Purchase intent averages 12.6% across 28,571 delivered claimants. Dog age is the dominant predictor (71% of predictive power); the food type the dog already eats adds most of the rest.
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/summary	Adult-dog households already feeding dry food convert at 16.8% — 1.33× the average — and they all received the Pedigree Adult SKU.
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/summary	Senior-dog households on wet food sit at 6.1% (0.48× average): the dry Senior 7+ sample is the wrong format for them — test a wet-pouch SKU in the next wave.
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/summary	Weight Meta and Google spend toward adult-dog audiences in Tokyo and Kanagawa, and route senior-dog claimants to the wet-food sample.
b2b	ana-data	CAMPAIGNS/C/pedigree/stats/ai	Focus the next wave on adult-dog, dry-food households in Tokyo & Kanagawa — 33% higher purchase intent than the campaign average.
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Yuki T.
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Shibuya, Tokyo
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Pedigree Adult
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Delivered
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Kenta M.
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	google · cpc
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Yokohama, Kanagawa
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Pedigree Puppy
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Shipped
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Aoi N.
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Shinjuku, Tokyo
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Pedigree Senior 7+
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Claimed
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Haruto S.
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	yahoo · cpc
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Ōmiya, Saitama
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Mei K.
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	chatgpt.com · referral
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Chūō, Chiba
b2b	ana-data	CAMPAIGNS/C/pedigree/feed	Sakura S.
b2b	ana-data	CAMPAIGNS/C/pampers/id	PMP-JP-2026
b2b	ana-data	CAMPAIGNS/C/pampers/company	P&G Japan K.K.
b2b	ana-data	CAMPAIGNS/C/pampers/name	2026: Pampers Premium Care Web Sampling — Japan
b2b	ana-data	CAMPAIGNS/C/pampers/brand	Pampers
b2b	ana-data	CAMPAIGNS/C/pampers/channelShort	Search → web form on pampers.jp
b2b	ana-data	CAMPAIGNS/C/pampers/skuLabel	SKU allocated by baby weight
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	Newborn – 1 month
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	2 – 4 months
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	5 – 8 months
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	9+ months
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	Up to 5 kg
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	4 – 8 kg
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	6 – 11 kg
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	9 – 14 kg
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	Leakage
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	Diaper rash
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	Stuffiness
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	Nighttime leaks
b2b	ana-data	CAMPAIGNS/C/pampers/questions/opts	Yes — prone to rash or redness
b2b	ana-data	CAMPAIGNS/C/pampers/skus	Premium Care · Newborn trial pack
b2b	ana-data	CAMPAIGNS/C/pampers/skus	Premium Care · S trial pack
b2b	ana-data	CAMPAIGNS/C/pampers/skus	Premium Care · M trial pack
b2b	ana-data	CAMPAIGNS/C/pampers/skus	Premium Care · L trial pack
b2b	ana-data	CAMPAIGNS/C/pampers/piSplit	Tapped “Open store”
b2b	ana-data	CAMPAIGNS/C/pampers/neg	Size didn't fit
b2b	ana-data	CAMPAIGNS/C/pampers/neg	Prefer pants type
b2b	ana-data	CAMPAIGNS/C/pampers/neg	Leaked at night
b2b	ana-data	CAMPAIGNS/C/pampers/geo/cities	Nagoya
b2b	ana-data	CAMPAIGNS/C/pampers/geo/cities	Fukuoka
b2b	ana-data	CAMPAIGNS/C/pampers/geo/postals	158-0094 Setagaya Tamagawa
b2b	ana-data	CAMPAIGNS/C/pampers/geo/postals	222-0033 Yokohama Kōhoku
b2b	ana-data	CAMPAIGNS/C/pampers/geo/postals	530-0001 Osaka Umeda
b2b	ana-data	CAMPAIGNS/C/pampers/geo/postals	460-0008 Nagoya Sakae
b2b	ana-data	CAMPAIGNS/C/pampers/geo/postals	336-0017 Saitama Minami
b2b	ana-data	CAMPAIGNS/C/pampers/geo/postals	810-0001 Fukuoka Tenjin
b2b	ana-data	CAMPAIGNS/C/pampers/geo/postals	135-0061 Kōtō Toyosu
b2b	ana-data	CAMPAIGNS/C/pampers/geo/postals	651-0087 Kobe
b2b	ana-data	CAMPAIGNS/C/pampers/geo/postals	060-0001 Sapporo
b2b	ana-data	CAMPAIGNS/C/pampers/geo/prefs	Aichi
b2b	ana-data	CAMPAIGNS/C/pampers/stats/top/d	= Yes AND
b2b	ana-data	CAMPAIGNS/C/pampers/stats/top/d	= Diaper rash
b2b	ana-data	CAMPAIGNS/C/pampers/stats/top/m	1.37x avg
b2b	ana-data	CAMPAIGNS/C/pampers/stats/top2/d	= Yes — prone to rash or redness
b2b	ana-data	CAMPAIGNS/C/pampers/stats/top2/m	1.19x avg
b2b	ana-data	CAMPAIGNS/C/pampers/stats/low	= No AND
b2b	ana-data	CAMPAIGNS/C/pampers/stats/low	= Leakage
b2b	ana-data	CAMPAIGNS/C/pampers/stats/low	= Nighttime leaks
b2b	ana-data	CAMPAIGNS/C/pampers/stats/key	is the strongest predictor of purchase intent (partial pseudo-R²=0.0052, rank #1).
b2b	ana-data	CAMPAIGNS/C/pampers/stats/driverLine	is your strongest driver — ⟦0⟧1.5×⟦1⟧ the impact of
b2b	ana-data	CAMPAIGNS/C/pampers/stats/driverLine	and accounts for ⟦0⟧48%⟦1⟧ of predictive power. Size (from weight) matters less for intent than the skin concern the product solves.
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	+2.7pp above average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	3.7pp below average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	+3.4pp above average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	+0.6pp above average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	2.1pp below average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	2.6pp below average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	+1.1pp above average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	+0.2pp above average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	0.7pp below average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	1.6pp below average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	Rank #4
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	+0.7pp above average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	+0.1pp above average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	0.5pp below average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/idx	1.1pp below average
b2b	ana-data	CAMPAIGNS/C/pampers/stats/tree	Sensitive skin: Yes
b2b	ana-data	CAMPAIGNS/C/pampers/stats/tree	Sensitive skin: No
b2b	ana-data	CAMPAIGNS/C/pampers/stats/tree	Yes · Diaper rash
b2b	ana-data	CAMPAIGNS/C/pampers/stats/tree	Yes · Stuffiness
b2b	ana-data	CAMPAIGNS/C/pampers/stats/tree	Yes · Leakage
b2b	ana-data	CAMPAIGNS/C/pampers/stats/tree	No · Nighttime leaks
b2b	ana-data	CAMPAIGNS/C/pampers/stats/tree	No · Leakage
b2b	ana-data	CAMPAIGNS/C/pampers/stats/summary	Purchase intent averages 14.5% across 23,905 delivered claimants. Whether the baby has sensitive skin is the dominant predictor (48% of predictive power); the parent's main diaper concern adds another 31%.
b2b	ana-data	CAMPAIGNS/C/pampers/stats/summary	Sensitive-skin households whose concern is diaper rash convert at 19.8% — 1.37× the average. Premium Care's positioning lands exactly there.
b2b	ana-data	CAMPAIGNS/C/pampers/stats/summary	Households without a skin concern whose worry is leakage sit at 8.9% (0.61× average): for them the sample proves little — route them to the Baby-Dry line instead.
b2b	ana-data	CAMPAIGNS/C/pampers/stats/summary	Weight search spend (Google, Yahoo!) toward sensitive-skin and rash keywords, and schedule the size-up reminder by weight band, not age.
b2b	ana-data	CAMPAIGNS/C/pampers/stats/ai	Prioritise sensitive-skin, rash-concern households — 37% higher purchase intent than the campaign average — and pair the Day-7 coupon with a size-up reminder.
b2b	ana-data	CAMPAIGNS/C/pampers/feed	Setagaya, Tokyo
b2b	ana-data	CAMPAIGNS/C/pampers/feed	Premium Care S
b2b	ana-data	CAMPAIGNS/C/pampers/feed	Kōhoku, Yokohama
b2b	ana-data	CAMPAIGNS/C/pampers/feed	Premium Care M
b2b	ana-data	CAMPAIGNS/C/pampers/feed	newsletter · email
b2b	ana-data	CAMPAIGNS/C/pampers/feed	Umeda, Osaka
b2b	ana-data	CAMPAIGNS/C/pampers/feed	Premium Care Newborn
b2b	ana-data	CAMPAIGNS/C/pampers/feed	Sakae, Nagoya
b2b	ana-data	CAMPAIGNS/C/pampers/feed	Premium Care L
b2b	ana-data	CAMPAIGNS/C/pampers/feed	Tenjin, Fukuoka
b2b	ana-data	CAMPAIGNS/C/lactogrow/id	NLG-JP-2026
b2b	ana-data	CAMPAIGNS/C/lactogrow/company	Nestlé Japan Ltd.
b2b	ana-data	CAMPAIGNS/C/lactogrow/name	2026: Nestlé LACTOGROW Web Sampling — Japan
consumer	ana-data	CAMPAIGNS/C/lactogrow/brand	Nestlé LACTOGROW
b2b	ana-data	CAMPAIGNS/C/lactogrow/channelShort	Meta & TikTok → web form on nestle.jp
b2b	ana-data	CAMPAIGNS/C/lactogrow/carrier	Dynamic · scored per pincode
b2b	ana-data	CAMPAIGNS/C/lactogrow/skuLabel	SKU allocated by child’s age
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	1 – 2 years
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	2 – 3 years
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	3 – 4 years
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	4 – 6 years
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	Tummy comfort & digestion
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	Immunity
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	Growth & height
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	Fussy eating
b2b	ana-data	CAMPAIGNS/C/lactogrow/questions/tag	Coupon destination
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	Rakuten Ichiba
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	Distacart
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	Drugstore / Akachan Honpo
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	Yes — another brand
consumer	ana-data	CAMPAIGNS/C/lactogrow/questions/opts	Yes — LACTOGROW already
b2b	ana-data	CAMPAIGNS/C/lactogrow/skus	LACTOGROW 3 · 1–3 years trial pack
b2b	ana-data	CAMPAIGNS/C/lactogrow/skus	LACTOGROW Aktif · 4–6 years trial pack
b2b	ana-data	CAMPAIGNS/C/lactogrow/piSplit	Tapped the store link
b2b	ana-data	CAMPAIGNS/C/lactogrow/neg	Child didn’t take to the taste
b2b	ana-data	CAMPAIGNS/C/lactogrow/neg	Already on another brand
b2b	ana-data	CAMPAIGNS/C/lactogrow/neg	Pack arrived damaged
b2b	ana-data	CAMPAIGNS/C/lactogrow/geo/postals	153-0042 Meguro Aobadai
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/top/d	= Distacart AND
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/top/d	= Tummy comfort & digestion
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/top/m	1.55x avg
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/top2/d	= Distacart
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/top2/m	1.39x avg
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/low	= Drugstore / Akachan Honpo AND
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/low	= Not yet
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/low	= Fussy eating
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/key	is the strongest predictor of purchase intent (partial pseudo-R²=0.0061, rank #1).
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/driverLine	and accounts for ⟦0⟧44%⟦1⟧ of predictive power. Sending the Day-7 coupon to the store the parent already uses is what converts.
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/idx	+6.1pp above average
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/idx	+1.7pp above average
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/idx	5.7pp below average
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/idx	+0.3pp above average
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/idx	4.1pp below average
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/idx	+1.6pp above average
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/idx	+0.4pp above average
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/idx	0.9pp below average
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/idx	2.3pp below average
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/idx	+1.9pp above average
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/idx	0.4pp below average
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/tree	Buys on Distacart
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/tree	Buys on Amazon.co.jp
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/tree	Distacart · Tummy comfort
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/tree	Distacart · Immunity
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/tree	Amazon · Fussy eating
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/tree	Drugstore · Not yet on milk
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/summary	Purchase intent averages 15.5% across 25,918 delivered claimants. Where the parent already shops is the dominant predictor (44% of predictive power) — more than the child’s age or the need they came with.
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/summary	Parents who buy on Distacart and came for tummy comfort convert at 24.1% — 1.55× the average. The Day-7 coupon lands in the basket they already use.
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/summary	Drugstore-first parents who aren’t yet on a growing-up milk sit at 9.2% (0.59×): an online coupon is the wrong ask — route them to an in-store trial offer instead.
b2b	ana-data	CAMPAIGNS/C/lactogrow/stats/summary	Weight Meta and TikTok spend toward 2–3-year-old households with a digestion concern in Tokyo and Kanagawa, and split the Day-7 creative by preferred store.
